cargo,padrao,ativos,inativos_aposentadoria,inativos_instituidor_pensao,inativos_total,inativos_beneficiarios_de_pensao
analista,13,1551,243,32,275,43
analista,12,129,0,0,0,0
analista,11,326,5,0,5,0
analista,10,138,0,1,1,1
analista,9,239,0,2,2,4
analista,8,100,0,1,1,2
analista,7,83,1,1,2,2
analista,6,40,0,0,0,0
analista,5,32,0,0,0,0
analista,4,7,0,2,2,4
analista,3,42,0,2,2,2
analista,2,47,0,0,0,0
analista,1,79,0,0,0,0
tecnico,13,3991,1144,321,1465,386
tecnico,12,280,8,6,14,9
tecnico,11,552,2,4,6,6
tecnico,10,304,6,1,7,1
tecnico,9,328,3,4,7,5
tecnico,8,129,7,3,10,4
tecnico,7,178,5,4,9,5
tecnico,6,56,2,3,5,4
tecnico,5,53,1,4,5,8
tecnico,4,8,1,2,3,2
tecnico,3,55,4,2,6,6
tecnico,2,107,0,0,0,0
tecnico,1,143,1,1,2,1
