cargo,padrao,vencimento,gampu,gas_25,gas_35,aq_5,aq_75,aq_10,"aq_12,5",at_25,at_5,penosidade
analista,1,5831.16,8163.62,1457.79,2040.91,291.56,437.34,583.12,728.90,145.78,291.56,1166.23
analista,2,6006.09,8408.53,1501.52,2102.13,300.30,450.46,600.61,750.76,150.15,300.30,1201.22
analista,3,6186.27,8660.78,1546.57,2165.19,309.31,463.97,618.63,773.28,154.66,309.31,1237.25
analista,4,6538.90,9154.46,1634.73,2288.62,326.95,490.42,653.89,817.36,163.47,326.95,1307.78
analista,5,6735.06,9429.08,1683.77,2357.27,336.75,505.13,673.51,841.88,168.38,336.75,1347.01
analista,6,6937.12,9711.97,1734.28,2427.99,346.86,520.28,693.71,867.14,173.43,346.86,1387.42
analista,7,7145.23,10003.32,1786.31,2500.83,357.26,535.89,714.52,893.15,178.63,357.26,1429.05
analista,8,7359.59,10303.43,1839.90,2575.86,367.98,551.97,735.96,919.95,183.99,367.98,1471.92
analista,9,7779.09,10890.73,1944.77,2722.68,388.95,583.43,777.91,972.39,194.48,388.95,1555.82
analista,10,8012.46,11217.44,2003.12,2804.36,400.62,600.93,801.25,1001.56,200.31,400.62,1602.49
analista,11,8252.83,11553.96,2063.21,2888.49,412.64,618.96,825.28,1031.60,206.32,412.64,1650.57
analista,12,8500.42,11900.59,2125.11,2975.15,425.02,637.53,850.04,1062.55,212.51,425.02,1700.08
analista,13,8755.43,12257.60,2188.86,3064.40,437.77,656.66,875.54,1094.43,218.89,437.77,1751.09
tecnico,1,3554.03,4975.64,888.51,1243.91,177.70,266.55,355.40,444.25,88.85,177.70,710.81
tecnico,2,3660.66,5124.92,915.17,1281.23,183.03,274.55,366.07,457.58,91.52,183.03,732.13
tecnico,3,3770.48,5278.67,942.62,1319.67,188.52,282.79,377.05,471.31,94.26,188.52,754.10
tecnico,4,3985.39,5579.55,996.35,1394.89,199.27,298.90,398.54,498.17,99.63,199.27,797.08
tecnico,5,4104.96,5746.94,1026.24,1436.74,205.25,307.87,410.50,513.12,102.62,205.25,820.99
tecnico,6,4228.11,5919.35,1057.03,1479.84,211.41,317.11,422.81,528.51,105.70,211.41,845.62
tecnico,7,4354.94,6096.92,1088.74,1524.23,217.75,326.62,435.49,544.37,108.87,217.75,870.99
tecnico,8,4485.59,6279.83,1121.40,1569.96,224.28,336.42,448.56,560.70,112.14,224.28,897.12
tecnico,9,4741.27,6637.78,1185.32,1659.44,237.06,355.60,474.13,592.66,118.53,237.06,948.25
tecnico,10,4883.51,6836.91,1220.88,1709.23,244.18,366.26,488.35,610.44,122.09,244.18,976.70
tecnico,11,5030.02,7042.03,1257.51,1760.51,251.50,377.25,503.00,628.75,125.75,251.50,1006.00
tecnico,12,5180.92,7253.29,1295.23,1813.32,259.05,388.57,518.09,647.62,129.52,259.05,1036.18
tecnico,13,5336.35,7470.89,1334.09,1867.72,266.82,400.23,533.64,667.04,133.41,266.82,1067.27
